word,in_females,in_males,in_total,
student,95,134,229,
farm,21,31,52,
parks,82,123,205,
keys,64,111,175,
bottle,36,71,107,
archer,15,53,68,
africa,41,29,70,
former,22,33,55,
laptop,31,44,75,
orderbr,37,65,102,
sailing,21,39,60,
double,19,58,77,
depending,39,74,113,
city,459,631,1090,
finally,92,125,217,
fridays,31,44,75,
first,387,597,984,
fresh,152,121,273,
forbr,22,36,58,
become,132,224,356,
toobr,74,118,192,
motorcycle,32,89,121,
jobs,54,80,134,
handle,36,34,70,
kissing,36,34,70,
baby,57,74,131,
lake,30,40,70,
moon,38,52,90,
mood,79,114,193,
dislike,26,38,64,
free,215,311,526,
peppers,23,47,70,
exercisebr,20,38,58,
figured,30,47,77,
dating,161,238,399,
lotof,28,38,66,
blue,132,202,334,
canada,17,42,59,
steel,15,39,54,
typically,29,43,72,
connect,40,54,94,
amelie,67,44,111,
living,388,546,934,
enough,214,341,555,
wild,98,108,206,
financial,17,38,55,
kinda,80,136,216,
kinds,187,235,422,
vacation,63,55,118,
her,139,169,308,
hey,69,113,182,
weeks,42,87,129,
ethiopian,42,31,73,
underground,24,39,63,
friends,1327,1752,3079,
nowbr,61,83,144,
few,401,651,1052,
southern,58,73,131,
private,165,222,387,
making,641,863,1504,
togetherbr,27,32,59,
occasional,50,109,159,
baking,106,38,144,
within,80,99,179,
funmale,0,52,52,
ready,110,144,254,
girl,463,291,754,
america,68,93,161,
candy,34,33,67,
new,1156,1513,2669,
empire,34,78,112,
andim,16,36,52,
especially,310,382,692,
witty,99,128,227,
understand,86,155,241,
random,174,308,482,
digital,23,46,69,
cannot,54,54,108,
anyone,137,195,332,
sugar,32,33,65,
iron,54,77,131,
site,94,141,235,
intimate,30,29,59,
excellent,47,58,105,
goals,70,109,179,
ending,19,33,52,
volunteer,48,48,96,
awkward,61,72,133,
thingsbr,108,154,262,
pretend,27,38,65,
wasnt,41,64,105,
yes,227,317,544,
yet,210,290,500,
english,82,84,166,
trust,49,67,116,
describe,87,119,206,
nina,38,28,66,
nine,15,38,53,
much,832,1261,2093,
zombie,19,62,81,
exercise,60,111,171,
send,69,102,171,
health,100,122,222,
whatever,146,290,436,
smilei,35,17,52,
greatest,33,64,97,
faces,28,30,58,
worlds,16,42,58,
onebr,37,73,110,
asked,58,82,140,
taking,281,400,681,
highly,44,56,100,
interest,86,147,233,
sarcasm,61,78,139,
said,203,288,491,
touch,85,94,179,
role,28,34,62,
roll,45,54,99,
future,199,370,569,
bikebr,26,63,89,
improve,43,93,136,
hitchhikers,11,40,51,
assistant,34,19,53,
listening,298,434,732,
oscar,23,32,55,
wonder,82,125,207,
arrested,100,142,242,
chip,36,28,64,
secretly,30,38,68,
epic,20,35,55,
seinfeld,19,52,71,
lifestyle,67,46,113,
thinks,27,36,63,
nights,109,169,278,
river,30,41,71,
online,125,187,312,
looked,19,39,58,
pink,56,87,143,
healthbr,20,34,54,
tool,18,51,69,
moviesbr,124,235,359,
blog,24,28,52,
blow,26,25,51,
gonna,49,93,142,
ivebeen,23,35,58,
terrible,59,76,135,
developing,31,40,71,
cultures,54,57,111,
picking,45,54,99,
throwing,33,28,61,
pride,77,51,128,
isnt,120,204,324,
morning,93,142,235,
pair,35,56,91,
general,129,178,307,
daily,114,219,333,
genuinely,38,40,78,
havea,31,39,70,
trip,138,169,307,
running,204,267,471,
include,122,167,289,
simon,26,39,65,
answer,71,148,219,
change,199,202,401,
including,72,101,173,
tiny,33,42,75,
m,29,62,91,
guybr,13,48,61,
just,1185,1809,2994,
view,56,69,125,
heading,23,49,72,
thrones,50,105,155,
bird,47,56,103,
iam,102,122,224,
lyrics,31,51,82,
comics,21,34,55,
science,132,272,404,
american,189,324,513,
dance,325,317,642,
obsessed,52,45,97,
gay,22,65,87,
wind,57,82,139,
wine,295,269,564,
wing,22,37,59,
opinion,21,39,60,
for,1837,2744,4581,
hangover,24,49,73,
opera,58,47,105,
game,202,408,610,
turns,28,51,79,
question,94,204,298,
walking,143,237,380,
forthe,37,39,76,
knows,85,109,194,
known,74,115,189,
young,156,179,335,
waste,36,50,86,
heavy,39,70,109,
happened,23,45,68,
you,1519,2332,3851,
pleasure,60,71,131,
discover,22,44,66,
artistic,51,68,119,
studio,33,56,89,
feels,51,86,137,
record,22,59,81,
bought,35,54,89,
page,32,41,73,
library,37,48,85,
outlook,26,28,54,
inner,39,58,97,
genre,36,62,98,
studies,41,44,85,
nextbr,25,39,64,
spot,50,81,131,
python,20,38,58,
wish,129,165,294,
wise,29,52,81,
beer,141,231,372,
photography,68,116,184,
venture,16,43,59,
third,44,64,108,
flexible,26,33,59,
chuck,31,58,89,
caught,28,44,72,
north,31,75,106,
space,110,174,284,
fortunate,47,48,95,
obviously,29,45,74,
velvet,24,39,63,
mylife,62,56,118,
sexual,25,33,58,
take,508,724,1232,
shopping,60,37,97,
grade,43,33,76,
educated,36,41,77,
children,154,142,296,
more,892,1377,2269,
four,73,117,190,
finishing,36,58,94,
hill,56,47,103,
camera,56,69,125,
intense,41,48,89,
beers,22,37,59,
y,39,51,90,
avatar,19,39,58,
pants,27,36,63,
endless,31,28,59,
various,79,107,186,
growth,31,23,54,
parts,48,73,121,
party,153,218,371,
swimming,89,83,172,
sick,29,40,69,
computer,63,241,304,
light,87,130,217,
fascinating,20,42,62,
recipes,31,30,61,
anyway,40,74,114,
shows,504,673,1177,
knight,12,46,58,
spending,198,192,390,
seeking,69,68,137,
buying,26,29,55,
heartbr,26,36,62,
points,91,95,186,
sure,231,413,644,
want,964,1458,2422,
donnie,22,40,62,
extremely,85,112,197,
laughter,128,73,201,
animals,116,104,220,
obscure,14,44,58,
checking,58,75,133,
decide,40,49,89,
mixed,25,36,61,
idea,114,183,297,
followed,23,46,69,
depends,102,127,229,
comic,24,47,71,
mexican,181,262,443,
around,492,803,1295,
worldbr,62,81,143,
raw,19,37,56,
rap,69,134,203,
cream,72,76,148,
remembering,45,52,97,
star,97,241,338,
stay,173,261,434,
fifth,24,43,67,
dancer,39,39,78,
date,120,166,286,
angels,24,32,56,
biking,60,158,218,
channel,38,46,84,
simple,120,175,295,
ladies,23,62,85,
seriouslybr,30,39,69,
office,106,205,311,
lose,34,42,76,
lost,152,242,394,
doubt,24,31,55,
slightly,44,51,95,
computerbr,18,67,85,
dreaming,39,22,61,
somewhere,79,145,224,
cafe,22,40,62,
partner,140,142,282,
william,15,36,51,
information,32,51,83,
thoughts,43,65,108,
software,13,126,139,
equally,33,47,80,
most,750,1098,1848,
arent,103,138,241,
spent,139,226,365,
end,155,270,425,
decided,74,115,189,
comedies,104,84,188,
similar,50,77,127,
gal,39,16,55,
tastes,71,113,184,
keeping,110,121,231,
surfing,28,64,92,
hate,174,197,371,
need,376,562,938,
recent,100,127,227,
came,76,130,206,
different,247,381,628,
enders,20,58,78,
reality,65,77,142,
fear,47,83,130,
songs,65,135,200,
robert,33,70,103,
trees,51,48,99,
smile,442,420,862,
ultimately,22,31,53,
clearly,29,34,63,
common,64,98,162,
religious,23,28,51,
iwill,30,38,68,
horror,104,107,211,
cash,41,64,105,
case,81,102,183,
however,113,174,287,
dogs,127,133,260,
opportunity,42,59,101,
socially,23,41,64,
myselfbr,42,61,103,
kick,51,101,152,
friendly,123,127,250,
onthe,55,84,139,
table,24,40,64,
upon,53,79,132,
acting,29,37,66,
local,147,183,330,
lists,44,53,97,
collection,38,73,111,
youare,22,29,51,
search,32,52,84,
dumb,19,56,75,
aspects,26,35,61,
real,256,326,582,
read,571,838,1409,
jam,35,49,84,
music,1388,1896,3284,
with,1945,2725,4670,
pearl,25,33,58,
shadow,20,37,57,
lead,65,81,146,
lean,23,29,52,
death,86,155,241,
maintain,28,48,76,
dork,23,34,57,
phone,108,144,252,
wants,93,119,212,
they,551,871,1422,
then,460,749,1209,
empty,17,40,57,
swear,19,35,54,
sit,45,83,128,
six,97,138,235,
scared,33,34,67,
start,169,297,466,
stars,49,64,113,
version,35,62,97,
nice,292,505,797,
nick,25,45,70,
own,409,593,1002,
wit,58,55,113,
loveto,38,29,67,
getting,449,628,1077,
simone,32,31,63,
entirely,14,40,54,
boat,19,44,63,
geeky,26,44,70,
readingbr,20,31,51,
upbr,47,87,134,
medical,44,49,93,
bang,51,109,160,
band,124,201,325,
difference,45,62,107,
